,Word,Tag,Score
20,1,n,-0.31712
30,10000,n,-0.31712
416,ACE,n,-0.95136
439,AIDS,n,-1.5856
477,AU,n,-0.31712
760,Adam,n,-0.31712
766,Adams,n,-0.06208
850,Advent,n,-0.31712
1496,Allies,n,-0.95136
2129,Angel,n,-0.697253376
2130,Angel_Falls,n,0.654661939
2473,Apocalypse,n,-0.31712
3170,Assault,n,0.63424
3181,Assumption,n,-0.232417792
3182,Assumption_of_Mary,n,0.218220646
3355,Au,n,-0.31712
3570,BAN,n,0.232417792
3572,BASIC,n,-0.31712
3643,Bachelor_of_Arts_in_Nursing,n,-0.218220646
3732,Balance,n,-0.31712
3763,Ball,n,-0.31712
3791,Bam,n,0.31712
3944,Base,n,-0.31712
4090,Bedlam,n,0.63424
4193,Bend,n,0.31712
4733,Bond,n,-1.26848
5172,Brother,n,-0.31712
5385,Burns,n,0.31712
5442,C,n,0.31712
5516,CORE,n,0.31712
5598,Caesarism,n,0.31712
5708,Call,n,0.31712
5941,Cancer,n,0.232417792
5945,Cancer_the_Crab,n,-0.218220646
6833,Chancellor,n,-0.232417792
6834,Chancellor_of_the_Exchequer,n,0.218220646
6854,Chaos,n,0.63424
6986,Chase,n,0.31712
7556,Citation,n,-0.63424
7838,Coke,n,0.31712
7839,Cola,n,0.31712
7894,Colony,n,0.31712
7978,Communion,n,-0.31712
7995,Comrade,n,-0.63424
8009,Concord,n,-0.63424
8382,Court,n,-0.31712
8386,Coventry,n,0.31712
8387,Coward,n,0.31712
8538,Crown,n,-0.31712
8543,Crusade,n,-0.31712
8544,Crusader,n,-0.31712
8570,Cs,n,0.31712
8590,Cuban_sandwich,n,-0.31712
8643,Cupid,n,-0.31712
9122,Darling,n,-0.232417792
9123,Darling_River,n,0.218220646
9228,Day_of_Judgement,n,0.375532032
9229,Day_of_Judgment,n,0.014197146
9252,Death,n,0.95136
9423,Depression,n,0.31712
9472,Devil,n,1.26848
9545,Dickens,n,0.31712
9849,Doomsday,n,0.63424
10096,Dutch_hoe,n,0.31712
10349,Eden,n,-0.63424
10406,Education,n,-0.232417792
10407,Education_Department,n,0.218220646
10535,Einstein,n,-0.31712
10801,Energy,n,-0.232417792
10802,Energy_Department,n,0.218220646
10872,Enlightenment,n,-0.31712
11600,Excellency,n,-0.31712
11725,Fall,n,0.63424
11804,Fe,n,0.31712
11933,Fes,n,0.232417792
11939,Fez,n,-0.218220646
11957,Fields,n,0.31712
12515,Friend,n,-1.5856
12620,Fury,n,2.53696
13505,God,n,-0.63424
13563,Goliath,n,0.31712
13611,Gore,n,0.31712
13643,Goth,n,0.31712
13668,Grace,n,-0.31712
13726,Grant,n,-0.31712
13735,Grass,n,0.63424
13736,Graves,n,0.31712
13816,Greek_valerian,n,-0.31712
14202,Hades,n,0.31712
14556,Heaven,n,-0.63424
14673,Hell,n,0.95136
14692,Heller,n,0.31712
14895,Hero,n,-0.183756653
14896,Hero_of_Alexandria,n,0.236097592
14901,Heron,n,0.037169557
15304,Hooker,n,0.31712
15313,Hope,n,-0.31712
15345,Host,n,0.31712
15494,Hunt,n,0.31712
15495,Hunter,n,0.31712
15698,I,n,-0.31712
15764,IRA,n,0.63424
15897,Ilex_paraguariensis,n,-0.31712
15949,Independence,n,-0.31712
16073,Inferno,n,0.31712
16314,Ishmael,n,0.31712
16423,Italian_sandwich,n,-0.31712
16528,Jacob's_ladder,n,-0.31712
17057,Job,n,0.63424
17102,John,n,0.232417792
17202,John_Lackland,n,-0.218220646
17296,Johns,n,0.31712
17435,Judgement_Day,n,0.375532032
17436,Judges,n,-0.31712
17437,Judgment_Day,n,0.014197146
17533,Justice,n,-0.232417792
17534,Justice_Department,n,0.218220646
18341,Labor,n,0.145979819
18343,Labor_Department,n,-0.200999186
18345,Labour,n,-0.013646482
18346,Labour_Party,n,-0.252479822
18657,Last_Day,n,0.382960305
18659,Last_Judgement,n,-0.012642818
18660,Last_Judgment,n,-0.089510496
18762,Laws,n,-0.31712
19161,Lie,n,0.31712
19171,Light,n,-0.464835584
19172,Light_Within,n,0.436441293
19416,Loafer,n,0.31712
19443,Lodge,n,0.31712
19532,Lord,n,-0.31712
19660,Low,n,0.31712
20372,Man,n,-0.63424
20492,Mar,n,0.95136
20616,Mark,n,1.26848
20634,Marks,n,1.26848
20666,Mars,n,0.95136
20745,Mary_Jane,n,0.63424
20795,Mass,n,-0.31712
21264,Meridian,n,-0.63424
21382,Mexican_valium,n,0.31712
21958,Moron,n,0.31712
22746,Nemesis,n,0.63424
23131,Nip,n,0.31712
23407,Nut,n,0.31712
23466,O.K.,v,-0.31712
23476,OK,r,-0.31712
23776,Oncorhynchus_keta,n,-0.31712
23849,Opposition,n,1.5856
23883,Orcinus_orca,n,0.31712
23887,Order,n,0.31712
24235,PET,n,-0.31712
24252,PM,n,-0.31712
24253,PMS,n,-0.06208
24530,Paradise,n,-0.63424
24534,Paraguay_tea,n,-0.31712
25884,Pm,n,-0.31712
25962,Polemonium_caeruleum,n,-0.375532032
25964,Polemonium_van-bruntiae,n,-0.014197146
25970,Polish,n,-0.63424
26020,Polymonium_caeruleum_van-bruntiae,n,-0.31712
26312,Pretender,n,0.63424
26322,Price,n,0.63424
26328,Prime_Minister,n,-0.31712
26423,Promised_Land,n,-0.63424
26481,Providence,n,-0.31712
26637,Psyche,n,-0.31712
27002,R-2,n,0.31712
27255,Reb,n,0.14311424
27260,Rebel,n,0.232417792
27269,Red,n,0.232417792
27281,Red_River,n,-0.218220646
27456,Restoration,n,-0.63424
27470,Revelation,n,-0.232417792
27471,Revelation_of_Saint_John_the_Divine,n,0.218220646
28001,Romance,n,-0.232417792
28002,Romance_language,n,0.218220646
28021,Romantic_Movement,n,-0.14311424
28022,Romanticism,n,-0.232417792
28226,Rush,n,-0.31712
28266,Ruth,n,0.31712
28340,SOB,n,0.31712
28787,Sand,n,-0.31712
29120,Scheol,n,0.31712
29327,Scout,n,-0.31712
29383,Secession,n,0.31712
29635,Service,n,-0.31712
29644,Set,n,0.232417792
29652,Seth,n,-0.218220646
29717,Shangri-la,n,-0.63424
29978,Sin,n,0.95136
30317,Smuts,n,0.31712
30330,Snow,n,0.31712
30455,Song,n,0.232417792
30456,Song_dynasty,n,-0.218220646
30914,Stalinism,n,0.31712
31063,Stern,n,0.31712
31201,Sturm_und_Drang,n,0.31712
31396,Sweet,n,-0.31712
31718,Tang,n,-0.232417792
31719,Tang_dynasty,n,0.218220646
31971,Terpsichore,n,-0.31712
32086,Thanksgiving,n,-0.232417792
32087,Thanksgiving_Day,n,0.218220646
32865,Truth,n,-0.63424
32979,Turkey,n,0.31712
33054,Tyke,n,0.31712
33282,Union,n,-0.63424
33485,Usher,n,-0.232417792
33490,Ussher,n,0.218220646
34766,Wisdom,n,-0.464835584
34768,Wisdom_of_Solomon,n,0.436441293
34770,Wise_Men,n,-0.31712
34785,Wolf,n,0.31712
34829,Word,n,-0.232417792
34831,Word_of_God,n,0.218220646
34851,Worth,n,-0.31712
34889,X,n,-0.375532032
34918,XTC,n,-0.014197146
35425,abandon,v,-6.95328
35430,abandonment,n,-3.97664
35432,abase,v,0.63424
35433,abasement,n,0.232417792
35434,abash,v,0.31712
35442,abate,v,-2.48832
35449,abattoir,n,0.31712
35459,abbreviate,v,0.375532032
35465,abdicate,v,-3.97664
35494,abduct,v,0.63424
35507,aberrance,n,0.159505531
35508,aberrancy,n,0.039698121
35512,aberration,n,0.183756653
35519,abeyance,n,0.31712
35523,abhor,v,-2.330637312
35527,abidance,n,-0.31712
35528,abide,v,6.95328
35529,abide_by,v,-0.63424
35533,ability,n,3.97664
35539,abjection,n,-0.218220646
35568,abnegate,v,0.31712
35569,abnegation,n,0.31712
35573,abnormalcy,n,0.14311424
35574,abnormality,n,0.232417792
35578,abode,n,-0.31712
35580,abolish,v,-3.97664
35592,abominate,v,0.499323494
35614,abound,v,1.0
35650,abridge,v,0.014197146
35665,abruptly,r,0.31712
35675,abscond,v,-3.661274624
35681,absence,n,-2.330637312
35682,absence_seizure,n,0.499323494
35686,absentee,n,-2.48832
35712,absolutely,r,0.31712
35715,absolutism,n,0.31712
35719,absolve,v,6.95328
35737,absorption,n,2.48832
35746,absquatulate,v,0.998646989
35759,abstract,v,0.63424
35782,absurdity,n,-2.330637312
35784,absurdness,n,0.499323494
35787,abundance,n,3.97664
35790,abuse,n,-3.97664
35791,abuse,v,-2.48832
35805,abysm,n,0.416102912
35808,abyss,n,-2.24741673
35878,accede,v,2.330637312
35887,accelerator,n,0.375532032
35889,accelerator_pedal,n,0.014197146
35892,accent,n,0.232417792
35894,accent_mark,n,-0.218220646
35900,accentuate,v,1.0
35902,accept,v,8.4416
35907,acceptance,n,5.174818816
35910,acceptation,n,-0.848671539
35923,accessibility,n,-0.31712
