,Word,Tag,Score,avg
0,1,n,-0.31712,-0.31712
1,10000,n,-0.31712,-0.31712
2,ACE,n,-0.95136,-0.95136
3,AIDS,n,-1.5856,-1.5856
4,AU,n,-0.31712,-0.31712
5,Adam,n,-0.31712,-0.31712
6,Adams,n,-0.06208,-0.06208
7,Advent,n,-0.31712,-0.31712
8,Allies,n,-0.95136,-0.95136
9,Angel,n,-0.697253376,-0.697253376
10,Angel_Falls,n,0.654661939,0.654661939
11,Apocalypse,n,-0.31712,-0.31712
12,Assault,n,0.63424,0.63424
13,Assumption,n,-0.232417792,-0.232417792
14,Assumption_of_Mary,n,0.218220646,0.218220646
15,Au,n,-0.31712,-0.31712
16,BAN,n,0.232417792,0.232417792
17,BASIC,n,-0.31712,-0.31712
18,Bachelor_of_Arts_in_Nursing,n,-0.218220646,-0.218220646
19,Balance,n,-0.31712,-0.31712
20,Ball,n,-0.31712,-0.31712
21,Bam,n,0.31712,0.31712
22,Base,n,-0.31712,-0.31712
23,Bedlam,n,0.63424,0.63424
24,Bend,n,0.31712,0.31712
25,Bond,n,-1.26848,-1.26848
26,Brother,n,-0.31712,-0.31712
27,Burns,n,0.31712,0.31712
28,C,n,0.31712,0.31712
29,CORE,n,0.31712,0.31712
30,Caesarism,n,0.31712,0.31712
31,Call,n,0.31712,0.31712
32,Cancer,n,0.232417792,0.232417792
33,Cancer_the_Crab,n,-0.218220646,-0.218220646
34,Chancellor,n,-0.232417792,-0.232417792
35,Chancellor_of_the_Exchequer,n,0.218220646,0.218220646
36,Chaos,n,0.63424,0.63424
37,Chase,n,0.31712,0.31712
38,Citation,n,-0.63424,-0.63424
39,Coke,n,0.31712,0.31712
40,Cola,n,0.31712,0.31712
41,Colony,n,0.31712,0.31712
42,Communion,n,-0.31712,-0.31712
43,Comrade,n,-0.63424,-0.63424
44,Concord,n,-0.63424,-0.63424
45,Court,n,-0.31712,-0.31712
46,Coventry,n,0.31712,0.31712
47,Coward,n,0.31712,0.31712
48,Crown,n,-0.31712,-0.31712
49,Crusade,n,-0.31712,-0.31712
50,Crusader,n,-0.31712,-0.31712
51,Cs,n,0.31712,0.31712
52,Cuban_sandwich,n,-0.31712,-0.31712
53,Cupid,n,-0.31712,-0.31712
54,Darling,n,-0.232417792,-0.232417792
55,Darling_River,n,0.218220646,0.218220646
56,Day_of_Judgement,n,0.375532032,0.375532032
57,Day_of_Judgment,n,0.014197146,0.014197146
58,Death,n,0.95136,0.95136
59,Depression,n,0.31712,0.31712
60,Devil,n,1.26848,1.26848
61,Dickens,n,0.31712,0.31712
62,Doomsday,n,0.63424,0.63424
63,Dutch_hoe,n,0.31712,0.31712
64,Eden,n,-0.63424,-0.63424
65,Education,n,-0.232417792,-0.232417792
66,Education_Department,n,0.218220646,0.218220646
67,Einstein,n,-0.31712,-0.31712
68,Energy,n,-0.232417792,-0.232417792
69,Energy_Department,n,0.218220646,0.218220646
70,Enlightenment,n,-0.31712,-0.31712
71,Excellency,n,-0.31712,-0.31712
3220,FALSE,r,-2.24741673,-1.080077554
72,Fall,n,0.63424,0.63424
73,Fe,n,0.31712,0.31712
74,Fes,n,0.232417792,0.232417792
75,Fez,n,-0.218220646,-0.218220646
76,Fields,n,0.31712,0.31712
77,Friend,n,-1.5856,-1.5856
78,Fury,n,2.53696,2.53696
79,God,n,-0.63424,-0.63424
80,Goliath,n,0.31712,0.31712
81,Gore,n,0.31712,0.31712
82,Goth,n,0.31712,0.31712
83,Grace,n,-0.31712,-0.31712
84,Grant,n,-0.31712,-0.31712
85,Grass,n,0.63424,0.63424
86,Graves,n,0.31712,0.31712
87,Greek_valerian,n,-0.31712,-0.31712
88,Hades,n,0.31712,0.31712
89,Heaven,n,-0.63424,-0.63424
90,Hell,n,0.95136,0.95136
91,Heller,n,0.31712,0.31712
92,Hero,n,-0.183756653,-0.183756653
93,Hero_of_Alexandria,n,0.236097592,0.236097592
94,Heron,n,0.037169557,0.037169557
95,Hooker,n,0.31712,0.31712
96,Hope,n,-0.31712,-0.31712
97,Host,n,0.31712,0.31712
98,Hunt,n,0.31712,0.31712
99,Hunter,n,0.31712,0.31712
100,I,n,-0.31712,-0.31712
101,IRA,n,0.63424,0.63424
102,Ilex_paraguariensis,n,-0.31712,-0.31712
103,Independence,n,-0.31712,-0.31712
104,Inferno,n,0.31712,0.31712
105,Ishmael,n,0.31712,0.31712
106,Italian_sandwich,n,-0.31712,-0.31712
107,Jacob's_ladder,n,-0.31712,-0.31712
108,Job,n,0.63424,0.63424
109,John,n,0.232417792,0.232417792
110,John_Lackland,n,-0.218220646,-0.218220646
111,Johns,n,0.31712,0.31712
112,Judgement_Day,n,0.375532032,0.375532032
113,Judges,n,-0.31712,-0.31712
114,Judgment_Day,n,0.014197146,0.014197146
115,Justice,n,-0.232417792,-0.232417792
116,Justice_Department,n,0.218220646,0.218220646
117,Labor,n,0.145979819,0.145979819
118,Labor_Department,n,-0.200999186,-0.200999186
119,Labour,n,-0.013646482,-0.013646482
120,Labour_Party,n,-0.252479822,-0.252479822
121,Last_Day,n,0.382960305,0.382960305
122,Last_Judgement,n,-0.012642818,-0.012642818
123,Last_Judgment,n,-0.089510496,-0.089510496
124,Laws,n,-0.31712,-0.31712
125,Lie,n,0.31712,0.31712
126,Light,n,-0.464835584,-0.464835584
127,Light_Within,n,0.436441293,0.436441293
128,Loafer,n,0.31712,0.31712
129,Lodge,n,0.31712,0.31712
130,Lord,n,-0.31712,-0.31712
131,Low,n,0.31712,0.31712
132,Man,n,-0.63424,-0.63424
133,Mar,n,0.95136,0.95136
134,Mark,n,1.26848,1.26848
135,Marks,n,1.26848,1.26848
136,Mars,n,0.95136,0.95136
137,Mary_Jane,n,0.63424,0.63424
138,Mass,n,-0.31712,-0.31712
139,Meridian,n,-0.63424,-0.63424
140,Mexican_valium,n,0.31712,0.31712
141,Moron,n,0.31712,0.31712
142,Nemesis,n,0.63424,0.63424
143,Nip,n,0.31712,0.31712
144,Nut,n,0.31712,0.31712
145,O.K.,v,-0.31712,-0.31712
146,OK,r,-0.31712,-0.31712
147,Oncorhynchus_keta,n,-0.31712,-0.31712
148,Opposition,n,1.5856,1.5856
149,Orcinus_orca,n,0.31712,0.31712
150,Order,n,0.31712,0.31712
151,PET,n,-0.31712,-0.31712
152,PM,n,-0.31712,-0.31712
153,PMS,n,-0.06208,-0.06208
154,Paradise,n,-0.63424,-0.63424
155,Paraguay_tea,n,-0.31712,-0.31712
156,Pm,n,-0.31712,-0.31712
157,Polemonium_caeruleum,n,-0.375532032,-0.375532032
158,Polemonium_van-bruntiae,n,-0.014197146,-0.014197146
159,Polish,n,-0.63424,-0.63424
160,Polymonium_caeruleum_van-bruntiae,n,-0.31712,-0.31712
161,Pretender,n,0.63424,0.63424
